GEOID,city,num_of_married_couples_with_children_12,num_of_single_dads_with_children_12,num_of_single_moms_with_children_12,total_population_12,num_of_married_couples_with_children_15,num_of_single_dads_with_children_15,num_of_single_moms_with_children_15,total_population_15,parents_12,parents_15,percent_parents_12,percent_parents_15,percent_single_mom_12,percent_single_mom_15,percentage_change_single_mom,percentage_change_num_single_moms,percentage_change_parents,percentage_change_num_parents,gross_population_change,percentage_change_population
4872176,"Temple, Texas",4825,1209,1240,69147,4839,257,2822,72297,7274,7918,0.105196176262166,0.109520450364469,0.0179328098109824,0.0390334315393446,1.17664894407344,1.2758064516129,0.0411067612526703,0.0885345064613692,3150,0.0455551216972536
0659962,"Redlands, California",5336,831,1370,69908,4331,933,2821,71028,7537,8085,0.10781312582251,0.113828349383342,0.0195971848715455,0.0397167314298586,1.02665493488946,1.05912408759124,0.0557930540919009,0.0727079739949581,1120,0.0160210562453511
0633434,"Hesperia, California",7878,1425,2437,92066,5704,1441,4899,93286,11740,12044,0.127517215910325,0.129108333511995,0.0264701409858145,0.052515918787385,0.983968231054325,1.01025851456709,0.0124776689195372,0.0258943781942078,1220,0.0132513631525211
4967440,"Sandy, Utah",10216,1062,763,89348,9103,695,1493,93612,12041,11291,0.134765187804987,0.120614878434389,0.00853964274522093,0.0159488099816263,0.867620280784202,0.956749672346003,-0.104999737699878,-0.0622871854497135,4264,0.0477235080807628
2688940,"Wyoming, Michigan",7579,239,1933,73374,5384,889,3662,75277,9751,9935,0.132894485785156,0.13197922340157,0.0263444816965138,0.0486469970907448,0.846572563133116,0.894464562855665,-0.00688713589715806,0.0188698595015895,1903,0.0259356175211929
0678120,"Temecula, California",12717,845,1903,105213,10549,440,3723,112026,15465,14712,0.146987539562602,0.131326656311928,0.018087118511971,0.0332333565422313,0.837404698832253,0.956384655806621,-0.106545652082325,-0.0486905916585839,6813,0.064754355450372
4023200,"Edmond, Oklahoma",8563,911,1384,84871,8093,1032,2698,90090,10858,11823,0.127935337158747,0.131235431235431,0.0163071013656019,0.0299478299478299,0.836490083455401,0.949421965317919,0.0257950160602582,0.0888745625345368,5219,0.0614933251640726
4870808,"Sugar Land, Texas",9650,388,971,82479,8841,702,1865,88129,11009,11408,0.133476400053347,0.129446606678846,0.0117726936553547,0.0211621600154319,0.797563126583738,0.920700308959835,-0.0301910552943482,0.0362430738486692,5650,0.0685022854302306
3050200,"Missoula, Montana",5193,566,1217,68386,4688,377,2192,71024,6976,7257,0.102009183166145,0.102176728993016,0.0177960401251718,0.0308628069384997,0.73425136836174,0.801150369761709,0.00164245827356968,0.0402809633027523,2638,0.038575146959904
0649670,"Mountain View, California",6951,725,1167,76612,7087,390,2110,80438,8843,9587,0.115425781861849,0.119184962331236,0.0152326006369759,0.0262313831771053,0.72205546526512,0.808054841473865,0.0325679446025884,0.0841343435485695,3826,0.0499399571868637
1260950,"Riverview CDP, Florida",8272,842,1865,79420,8862,981,3562,89746,10979,13405,0.138239738101234,0.14936598845631,0.0234827499370436,0.0396897911884652,0.69016794433668,0.909919571045576,0.0804851810911871,0.220967301211404,10326,0.130017627801561
4105800,"Bend, Oregon",7159,480,1307,79118,8148,497,2427,87017,8946,11072,0.113071614550418,0.127239504924325,0.0165196289087186,0.0278911017387407,0.68836127571973,0.856924254016832,0.12530015097281,0.237648110887547,7899,0.0998382163350944
1738570,"Joliet, Illinois",14979,2004,4001,146781,11852,1724,6705,150025,20984,20281,0.142961282454814,0.135184135977337,0.0272582963735088,0.0446925512414598,0.639594442332593,0.67583104223944,-0.054400368714758,-0.0335017155928327,3244,0.0221009531206355
1276582,"Weston, Florida",8540,588,1171,67645,8822,287,1985,69947,10299,11094,0.152250720674107,0.158605801535448,0.0173109616379629,0.0283786295337899,0.639344487457913,0.695132365499573,0.0417408918210893,0.0771919603845033,2302,0.0340306009313327
0668084,"San Leandro, California",6986,460,1361,86884,6511,948,2318,90711,8807,9777,0.101365038442061,0.107781856665675,0.0156645642465816,0.0255536814719273,0.631304967675925,0.703159441587068,0.0633040575156651,0.110139661632792,3827,0.0440472353943189
1258050,"Pompano Beach, Florida",5222,987,2572,102968,4811,930,4371,107771,8781,10112,0.0852789216067128,0.0938285809726179,0.0249786341387616,0.0405582206716092,0.623716510930895,0.69945567651633,0.100255247191495,0.151577269103747,4803,0.0466455597855644
5380010,"Yakima, Washington",7187,1305,2767,93123,6606,402,4444,93700,11259,11452,0.120904610031893,0.12221985058698,0.0297133898177679,0.0474279615795091,0.596181447838317,0.606071557643657,0.0108783325527411,0.0171418420818901,577,0.00619610622510014
4737640,"Jackson, Tennessee",3434,473,2104,67263,4247,586,3256,66980,6011,8089,0.0893656244889464,0.120767393251717,0.0312801986233145,0.0486115258286056,0.554067044586262,0.547528517110266,0.351385322290839,0.34569955082349,-283,-0.00420736511901043
0650076,"Murrieta, California",10364,1098,2336,106809,9124,1827,3723,109816,13798,14674,0.129183870273104,0.133623515698987,0.0218708161297269,0.0339021636191447,0.550109672087856,0.59375,0.0343668711619904,0.0634874619510073,3007,0.0281530582628804
0623182,"Fairfield, California",8378,2186,2346,107676,9421,1321,3815,112972,12910,14557,0.119896727218693,0.128854937506639,0.0217875849771537,0.0337694295931735,0.549939088181821,0.62617220801364,0.0747160535216764,0.127575522850504,5296,0.0491845908094655
0680812,"Turlock, California",7178,581,1272,69735,6094,1215,2019,72293,9031,9328,0.129504552950455,0.129030473213174,0.0182404818240482,0.0279280151605273,0.531100736807682,0.587264150943396,-0.00366071868888251,0.0328867235079171,2558,0.0366817236681725
0648256,"Mission Viejo, California",9796,1039,912,95289,7596,684,1406,97163,11747,9686,0.123277608118461,0.099688152897708,0.00957088436230835,0.0144705289050359,0.511932268456099,0.541666666666667,-0.191352311103286,-0.175449050821486,1874,0.0196664882620239
0610046,"Camarillo, California",5162,525,770,65972,5319,551,1188,67623,6457,7058,0.0978748559995149,0.104372772577378,0.0116716182622931,0.017567987223282,0.505188640382287,0.542857142857143,0.0663900499418848,0.0930772804708069,1651,0.0250257685078519
4801924,"Allen, Texas",13277,131,1263,89631,12455,554,2063,98138,14671,15072,0.163682208164586,0.153579653141495,0.0140911068715065,0.0210214188183986,0.491821686549393,0.63341250989707,-0.0617205445623813,0.027332833481017,8507,0.0949113587932746
0686832,"Yorba Linda, California",6723,368,750,66739,7005,524,1125,67966,7841,8654,0.117487526034253,0.127328370067387,0.0112378069794273,0.0165523938439808,0.472920283671247,0.5,0.083760756271817,0.103685754368065,1227,0.0183850522183431
2756896,"St. Cloud, Minnesota",4032,422,1664,64949,3672,1080,2564,68253,6118,7316,0.0941969853269488,0.107189427570949,0.0256201019261267,0.0375661143099937,0.466274974951791,0.540865384615385,0.137928429438637,0.195815626021576,3304,0.0508706831513956
